,preprocessed_name,NAME,CITY_x,STATE
135,montgomerycollege,MONTGOMERY COLLEGE,Rockville,MD
163,mountstmarysuniversity,MOUNT ST. MARY'S UNIVERSITY,Emmitsburg,MD
171,stevensonuniversity,STEVENSON UNIVERSITY,Stevenson,MD
161,universitymarylandeasternshore,UNIVERSITY OF MARYLAND EASTERN SHORE,,MD
136,universitymarylanduniversitycollege,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE,Adelphi,MD
173,worwiccommunitycollege,WOR-WIC COMMUNITY COLLEGE,Salisbury,MD
2249,mainemaritimeacademy,MAINE MARITIME ACADEMY,Castine,ME
2240,saintjosephscollegemaine,SAINT JOSEPH'S COLLEGE OF MAINE,Standish,ME
2254,thomascollege,THOMAS COLLEGE,Waterville,ME
2255,unitycollege,UNITY COLLEGE,Unity,ME
1818,calvincollege,CALVIN COLLEGE,Grand Rapids,MI
1821,clearyuniversity,CLEARY UNIVERSITY,Howell,MI
1820,cornerstoneuniversity,CORNERSTONE UNIVERSITY,Grand Rapids,MI
1805,davenportuniversity,DAVENPORT UNIVERSITY,Grand Rapids,MI
1826,glenoakscommunitycollege,GLEN OAKS COMMUNITY COLLEGE,Centreville,MI
1863,hillsdalecollege,HILLSDALE COLLEGE,,MI
1831,jacksoncollege,JACKSON COLLEGE,Jackson,MI
1832,kalamazoocollege,KALAMAZOO COLLEGE,Kalamazoo,MI
1806,kalamazoovalleycommunitycollege,KALAMAZOO VALLEY COMMUNITY COLLEGE,Kalamazoo,MI
1835,lakemichigancollege,LAKE MICHIGAN COLLEGE,Benton Harbor,MI
1810,macombcommunitycollege,MACOMB COMMUNITY COLLEGE,Warren,MI
1838,marygrovecollege,MARYGROVE COLLEGE,Detroit,MI
1843,michigantechnologicaluniversity,MICHIGAN TECHNOLOGICAL UNIVERSITY,Houghton,MI
1848,montcalmcommunitycollege,MONTCALM COMMUNITY COLLEGE,Sidney,MI
1849,northwooduniversity,NORTHWOOD UNIVERSITY,Midland,MI
1851,olivetcollege,OLIVET COLLEGE,Olivet,MI
1839,rochestercollege,ROCHESTER COLLEGE,Rochester Hills,MI
1852,saginawvalleystateuniversity,SAGINAW VALLEY STATE UNIVERSITY,University Center,MI
1854,stclaircountycommunitycollege,ST CLAIR COUNTY COMMUNITY COLLEGE,Port Huron,MI
1859,washtenawcommunitycollege,WASHTENAW COMMUNITY COLLEGE,Ann Arbor,MI
